SG_PARTIDO,NM_PARTIDO,DS_CARGO,SG_UF,txGenFeminino,totalGenFeminino,txCorRacaPreta,totalCorRacaPreta,txCorRacaPretaParda,totalCorRacaPretaParda,txCorRacaNaoBranca,totalCorRacaNaoBranca,totalBens,avgBens,avgBensNotZero,txEstadoCivilCasado,txEstadoCivilSolteiro,txEstadoCivilSeparadoDivorciado,avgIdade,totalCandidaturas
AGIR,AGIR,VEREADOR,BA,0.348754448398576,196,0.229537366548043,129,0.823843416370107,463,0.846975088967972,476,39279021.22,69891.4968327402,129207.306644737,0.382562277580071,0.526690391459075,0.00355871886120996,45.7758007117438,562
AGIR,AGIR,VEREADOR,CE,0.349206349206349,88,0.0753968253968254,19,0.718253968253968,181,0.726190476190476,183,13966488.98,55422.5753174603,120400.767068966,0.444444444444444,0.416666666666667,0.0119047619047619,46.3968253968254,252
AGIR,AGIR,VEREADOR,ES,0.332307692307692,108,0.166153846153846,54,0.553846153846154,180,0.566153846153846,184,36000598.01,110771.0708,197805.483571429,0.529230769230769,0.295384615384615,0.00307692307692308,48.08,325
AGIR,AGIR,VEREADOR,GO,0.355140186915888,228,0.0981308411214953,63,0.677570093457944,435,0.697819314641745,448,206458407.16,321586.303987539,529380.531179487,0.456386292834891,0.41588785046729,0.00311526479750779,47.190031152648,642
AGIR,AGIR,VEREADOR,MA,0.365296803652968,80,0.132420091324201,29,0.730593607305936,160,0.744292237442922,163,19986622.0,91263.1141552511,199866.22,0.442922374429224,0.488584474885845,0.0182648401826484,45.1278538812785,219
AGIR,AGIR,VEREADOR,MG,0.337078651685393,390,0.165946413137424,192,0.592912705272256,686,0.601555747623163,696,202463356.49,174989.936464996,269233.186821809,0.475367329299914,0.374243733794296,0.00691443388072602,46.5704407951599,1157
AGIR,AGIR,VEREADOR,MT,0.333333333333333,36,0.138888888888889,15,0.777777777777778,84,0.796296296296296,86,31179590.24,288699.90962963,588294.155471698,0.444444444444444,0.388888888888889,0.00925925925925926,47.75,108
AGIR,AGIR,VEREADOR,PA,0.342756183745583,97,0.166077738515901,47,0.830388692579505,235,0.84452296819788,239,30971321.41,109439.298268551,251799.361056911,0.321554770318021,0.600706713780919,0.00706713780918728,44.3180212014134,283
AGIR,AGIR,VEREADOR,PB,0.344827586206897,20,0.120689655172414,7,0.655172413793103,38,0.655172413793103,38,5278215.87,91003.7218965517,170265.028064516,0.53448275862069,0.241379310344828,0.0344827586206897,49.9310344827586,58
AGIR,AGIR,VEREADOR,PE,0.345794392523364,111,0.124610591900312,40,0.750778816199377,241,0.750778816199377,241,9172309.96,28574.1743302181,138974.393333333,0.492211838006231,0.451713395638629,0.00934579439252336,45.8348909657321,321
AGIR,AGIR,VEREADOR,PI,0.314285714285714,11,0.171428571428571,6,0.885714285714286,31,0.885714285714286,31,1454964.55,41570.4157142857,90935.284375,0.428571428571429,0.4,0.0,49.1714285714286,35
AGIR,AGIR,VEREADOR,PR,0.34446764091858,165,0.0939457202505219,45,0.394572025052192,189,0.423799582463466,203,76960126.12,160668.321753653,263562.075753425,0.565762004175365,0.288100208768267,0.0104384133611691,49.9916492693111,479
AGIR,AGIR,VEREADOR,RJ,0.335755813953488,231,0.170058139534884,117,0.530523255813954,365,0.536337209302326,369,44558633.04,64765.455,188807.767118644,0.48546511627907,0.338662790697674,0.00581395348837209,48.4956395348837,688
AGIR,AGIR,VEREADOR,RO,0.349112426035503,59,0.0887573964497041,15,0.715976331360947,121,0.727810650887574,123,36525579.77,216127.690946746,283144.029224806,0.443786982248521,0.455621301775148,0.0,45.603550295858,169
AGIR,AGIR,VEREADOR,RS,0.32,16,0.14,7,0.24,12,0.26,13,5732040.76,114640.8152,159223.354444444,0.34,0.48,0.02,50.7,50
AGIR,AGIR,VEREADOR,SC,0.328767123287671,24,0.0684931506849315,5,0.219178082191781,16,0.219178082191781,16,8046861.71,110230.982328767,171209.823617021,0.547945205479452,0.383561643835616,0.0136986301369863,44.6712328767123,73
AGIR,AGIR,VEREADOR,SE,0.380952380952381,24,0.206349206349206,13,0.825396825396825,52,0.841269841269841,53,7131818.49,113203.468095238,230058.660967742,0.365079365079365,0.46031746031746,0.0158730158730159,45.5555555555556,63
AGIR,AGIR,VEREADOR,SP,0.349433962264151,463,0.119245283018868,158,0.413584905660377,548,0.432452830188679,573,202644036.79,152938.895690566,291155.224683908,0.532830188679245,0.331320754716981,0.0060377358490566,48.417358490566,1325
AGIR,AGIR,VEREADOR,TO,0.353448275862069,41,0.189655172413793,22,0.810344827586207,94,0.827586206896552,96,19338386.95,166710.232327586,257845.159333333,0.551724137931034,0.379310344827586,0.0,43.2586206896552,116
AGIR,AGIR,VICE-PREFEITO,AC,0.0,0,0.0,0,1.0,1,1.0,1,0,0.0,0,1.0,0.0,0.0,52.0,1
AGIR,AGIR,VICE-PREFEITO,AL,0.0,0,0.0,0,1.0,1,1.0,1,0,0.0,0,0.0,1.0,0.0,65.0,1
AGIR,AGIR,VICE-PREFEITO,AM,0.25,1,0.0,0,0.5,2,0.5,2,2125000,531250.0,708333.333333333,0.5,0.5,0.0,51.25,4
AGIR,AGIR,VICE-PREFEITO,AP,0.0,0,0.0,0,1.0,1,1.0,1,20000,20000.0,20000.0,1.0,0.0,0.0,44.0,1
AGIR,AGIR,VICE-PREFEITO,BA,0.166666666666667,2,0.166666666666667,2,0.75,9,0.75,9,5136685.22,428057.101666667,733812.174285714,0.5,0.166666666666667,0.0,50.0,12
AGIR,AGIR,VICE-PREFEITO,CE,0.333333333333333,1,0.0,0,0.666666666666667,2,0.666666666666667,2,810000,270000.0,405000.0,0.666666666666667,0.333333333333333,0.0,46.3333333333333,3
AGIR,AGIR,VICE-PREFEITO,ES,0.0,0,0.0,0,0.333333333333333,3,0.333333333333333,3,7776910.38,864101.153333333,972113.7975,0.666666666666667,0.222222222222222,0.0,49.2222222222222,9
AGIR,AGIR,VICE-PREFEITO,GO,0.3125,5,0.0625,1,0.6875,11,0.75,12,8263080.43,516442.526875,751189.13,0.625,0.3125,0.0,52.125,16
AGIR,AGIR,VICE-PREFEITO,MA,0.333333333333333,2,0.0,0,0.833333333333333,5,0.833333333333333,5,6238000,1039666.66666667,1247600.0,0.333333333333333,0.5,0.0,49.8333333333333,6
AGIR,AGIR,VICE-PREFEITO,MG,0.125,2,0.0625,1,0.25,4,0.25,4,16787056.45,1049191.028125,1199075.46071429,0.6875,0.3125,0.0,50.1875,16
AGIR,AGIR,VICE-PREFEITO,MS,0.0,0,0.0,0,1.0,1,1.0,1,500000,500000.0,500000.0,0.0,0.0,0.0,49.0,1
AGIR,AGIR,VICE-PREFEITO,MT,0.0,0,0.0,0,1.0,1,1.0,1,155000,155000.0,155000.0,1.0,0.0,0.0,54.0,1
AGIR,AGIR,VICE-PREFEITO,PA,0.428571428571429,3,0.0,0,0.571428571428571,4,0.571428571428571,4,669500,95642.8571428571,334750.0,0.428571428571429,0.428571428571429,0.0,44.5714285714286,7
AGIR,AGIR,VICE-PREFEITO,PB,0.0,0,0.0,0,1.0,1,1.0,1,161500,161500.0,161500.0,1.0,0.0,0.0,46.0,1
AGIR,AGIR,VICE-PREFEITO,PE,0.307692307692308,4,0.0769230769230769,1,0.538461538461538,7,0.538461538461538,7,228000,17538.4615384615,76000.0,0.384615384615385,0.461538461538462,0.0,47.0,13
